order_id,customer_id,order_date,category,payment_method,pincode_tier,order_value,discount_percent,is_rto,is_return,outcome,return_reason,is_bad_order
ORD_0005801,CUST_03923,2023-01-01 00:00:00,Home,COD,Tier_2,1243.13,33.08,0,0,Delivered,,0
ORD_0002835,CUST_00473,2023-01-01 01:00:00,Fashion,Prepaid,Tier_3,1013.95,1.45,0,0,Delivered,,0
ORD_0004020,CUST_05516,2023-01-01 02:00:00,Fashion,COD,Tier_2,639.64,44.38,0,1,Returned,Wrong Size,1
ORD_0006267,CUST_03374,2023-01-01 04:00:00,Fashion,COD,Tier_2,1645.14,10.51,0,0,Delivered,,0
ORD_0001429,CUST_01924,2023-01-01 05:00:00,Fashion,COD,Tier_1,1296.12,39.24,0,1,Returned,Wrong Size,1
ORD_0003768,CUST_02503,2023-01-01 05:00:00,Fashion,Prepaid,Tier_1,1955.84,45.64,0,1,Returned,Wrong Size,1
ORD_0002301,CUST_04307,2023-01-01 06:00:00,Electronics,COD,Tier_3,345.0,17.25,0,0,Delivered,,0
ORD_0000083,CUST_05750,2023-01-01 07:00:00,Electronics,COD,Tier_3,2939.88,37.53,0,0,Delivered,,0
ORD_0004389,CUST_02103,2023-01-01 07:00:00,Fashion,Prepaid,Tier_1,790.47,48.66,0,0,Delivered,,0
ORD_0008317,CUST_05402,2023-01-01 08:00:00,Home,COD,Tier_3,2337.58,35.97,0,0,Delivered,,0
ORD_0009625,CUST_05303,2023-01-01 08:00:00,Fashion,COD,Tier_2,2134.67,27.42,0,0,Delivered,,0
ORD_0008548,CUST_00520,2023-01-01 08:00:00,Footwear,COD,Tier_2,1042.47,40.16,0,1,Returned,Wrong Size,1
ORD_0001630,CUST_00942,2023-01-01 12:00:00,Electronics,Prepaid,Tier_1,5090.08,17.22,0,0,Delivered,,0
ORD_0000543,CUST_05494,2023-01-01 15:00:00,Home,COD,Tier_1,3015.88,27.45,0,0,Delivered,,0
ORD_0008725,CUST_00685,2023-01-01 15:00:00,Fashion,COD,Tier_3,2973.74,18.8,0,0,Delivered,,0
ORD_0005110,CUST_05488,2023-01-01 16:00:00,Footwear,COD,Tier_3,2932.83,21.21,0,0,Delivered,,0
ORD_0004370,CUST_01950,2023-01-01 16:00:00,Electronics,COD,Tier_2,1988.7,27.68,1,0,RTO,,1
ORD_0005713,CUST_05605,2023-01-01 16:00:00,Footwear,Prepaid,Tier_2,3217.75,3.91,0,1,Returned,Wrong Size,1
ORD_0008594,CUST_02841,2023-01-01 17:00:00,Beauty,COD,Tier_1,303.9,6.25,0,0,Delivered,,0
ORD_0005138,CUST_01355,2023-01-01 18:00:00,Beauty,Prepaid,Tier_3,1259.66,22.65,0,0,Delivered,,0
ORD_0006884,CUST_03997,2023-01-01 18:00:00,Home,COD,Tier_1,572.59,46.36,1,0,RTO,,1
ORD_0006369,CUST_04429,2023-01-01 20:00:00,Beauty,COD,Tier_1,863.71,25.92,0,0,Delivered,,0
ORD_0007604,CUST_04371,2023-01-01 20:00:00,Fashion,Prepaid,Tier_1,2522.97,14.91,0,0,Delivered,,0
ORD_0004587,CUST_00828,2023-01-01 23:00:00,Footwear,Prepaid,Tier_1,2258.39,23.08,0,1,Returned,Wrong Size,1
ORD_0003321,CUST_02021,2023-01-02 00:00:00,Fashion,COD,Tier_1,543.82,14.56,0,0,Delivered,,0
ORD_0000149,CUST_03835,2023-01-02 00:00:00,Fashion,COD,Tier_1,422.76,19.85,1,0,RTO,,1
ORD_0009525,CUST_03283,2023-01-02 00:00:00,Home,COD,Tier_1,2168.17,32.8,0,0,Delivered,,0
ORD_0005344,CUST_02939,2023-01-02 02:00:00,Footwear,COD,Tier_1,5245.99,38.19,0,0,Delivered,,0
